FileName	Usefulness	ORGANIZATION	COMMERCIALITEM	DATE	EVENT	LOCATION	OTHER	PERSON	QUANTITY	TITLE	PERSONTYPE	PRODUCT	SKILL	ADDRESS	PHONENUMBER	EMAILADDRESS	URL	IPADDRESS	UNKNOWN	WORKOFART	CONSUMERGOOD	NUMBER	PRICE	COMPANY	DURATION	FACILITY	GEOGRAPHICFEATURE	HASHTAG	JOBTITLE	MEASURE	MONEY	ORDINAL	PERCENT	TIME	TWITTERHANDLE
""	Useless	39	1	1	0	16	34	3	13	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bahn.de#C	Useful	15	0	0	0	7	23	1	0	1	0	0	0	4	0	1	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	50	0	1	5	14	128	23	0	0	0	0	0	7	0	2	3	0	0	3	15	29	0	0	5	0	0	0	0	1	0	0	0	0	0	
bahn.de#G	Useful	10	0	0	2	9	79	2	0	0	0	0	0	6	0	0	0	0	0	2	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	60	0	1	11	16	365	26	0	0	0	0	0	12	0	0	0	0	0	9	24	35	0	0	0	0	0	0	0	0	0	0	0	0	0	
bahn.de#I	Useful	13	0	1	0	9	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	2	0	0	1	1	0	0	0	0	0	
""	Useless	43	0	6	0	9	0	15	0	0	0	0	0	0	0	2	3	0	0	0	0	17	0	0	5	6	1	0	11	1	0	3	0	1	0	
bahn.de#M	Useful	19	0	1	1	4	0	0	13	0	2	5	16	9	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	45	0	2	13	10	0	1	29	0	36	20	121	14	3	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bahn.de#T	Useful	17	0	0	0	6	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	37	0	1	2	10	5	3	0	0	0	0	0	2	0	2	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
beiersdorf.de#A	Useful	25	0	0	0	14	20	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	26	0	1	0	21	64	0	51	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
beiersdorf.de#C	Useful	23	0	0	1	11	61	12	0	0	0	0	0	4	1	0	9	0	0	2	7	15	0	0	3	0	0	0	0	0	0	0	0	0	0	
""	Useless	31	0	0	10	7	127	26	0	0	0	0	0	7	0	0	11	1	0	3	14	49	0	0	7	0	0	0	0	0	0	0	0	0	0	
beiersdorf.de#G	Useful	18	0	0	3	11	152	12	0	0	0	0	0	6	1	0	0	0	0	7	19	22	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	41	0	0	27	11	460	38	0	0	0	0	0	8	1	0	0	0	0	7	36	52	0	0	0	0	0	0	0	0	0	0	0	0	0	
beiersdorf.de#I	Useful	33	0	5	0	12	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	10	0	0	3	4	0	2	0	3	0	1	0	0	0	
""	Useless	47	0	2	0	3	0	11	0	0	0	0	0	0	0	0	18	1	0	0	0	33	0	0	10	5	0	0	10	8	0	3	0	0	0	
beiersdorf.de#M	Useful	27	0	2	1	12	0	0	14	0	12	4	74	22	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	19	0	2	14	10	0	2	50	0	40	11	141	11	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
beiersdorf.de#T	Useful	25	0	1	0	11	4	2	0	0	0	0	0	1	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	18	0	0	8	7	4	1	10	0	0	0	0	2	0	0	11	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	
bmjv.de#A	Useful	10	0	5	1	4	7	3	6	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	12	0	0	0	4	11	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bmjv.de#C	Useful	5	0	0	3	5	35	11	0	0	0	0	0	2	0	2	0	0	0	3	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	
""	Useless	12	0	0	6	4	20	5	0	1	0	0	0	2	0	1	0	0	0	5	2	25	0	0	1	0	0	0	0	0	0	0	0	0	0	
bmjv.de#G	Useful	6	0	0	8	7	136	17	0	0	0	0	0	3	0	0	0	0	0	6	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	15	0	0	9	7	119	5	0	0	0	0	0	5	0	0	0	0	0	12	6	29	0	0	0	0	0	0	0	0	0	0	0	0	0	
bmjv.de#I	Useful	11	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	3	2	0	0	2	0	0	0	0	0	0	
""	Useless	14	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	17	0	0	1	2	0	0	3	1	0	1	0	0	0	
bmjv.de#M	Useful	8	0	1	2	3	0	0	5	0	13	5	22	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	12	0	0	4	3	0	0	32	0	6	4	19	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bmjv.de#T	Useful	9	0	0	2	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	13	0	0	2	3	1	0	3	0	0	0	0	2	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
bnpparibas.de#A	Useful	2	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	37	0	1	0	13	19	0	26	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bnpparibas.de#C	Useful	9	0	0	1	1	43	5	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	39	0	1	4	14	94	28	10	0	0	0	0	0	0	2	2	0	0	4	4	11	0	1	0	0	0	0	0	0	0	0	0	0	0	
bnpparibas.de#G	Useful	10	0	0	3	5	97	9	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	47	0	1	15	17	362	35	0	0	0	0	0	1	0	0	0	0	0	10	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	
bnpparibas.de#I	Useful	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	33	0	0	0	8	0	24	0	0	0	0	0	0	0	4	2	0	0	0	0	11	0	7	0	3	0	0	9	1	0	5	0	0	0	
bnpparibas.de#M	Useful	4	0	1	2	3	0	0	0	0	7	1	53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	29	0	12	10	17	0	2	15	0	50	8	107	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bnpparibas.de#T	Useful	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	32	0	1	4	10	5	0	5	0	0	0	0	0	0	4	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	
bundestag.de#A	Useful	3	0	0	0	1	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	11	0	1	0	3	12	1	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bundestag.de#C	Useful	5	0	0	0	1	12	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
