FileName	Usefulness	ORGANIZATION	COMMERCIALITEM	DATE	EVENT	LOCATION	OTHER	PERSON	QUANTITY	TITLE	PERSONTYPE	PRODUCT	SKILL	ADDRESS	PHONENUMBER	EMAILADDRESS	URL	IPADDRESS	UNKNOWN	WORKOFART	CONSUMERGOOD	NUMBER	PRICE	COMPANY	DURATION	FACILITY	GEOGRAPHICFEATURE	HASHTAG	JOBTITLE	MEASURE	MONEY	ORDINAL	PERCENT	TIME	TWITTERHANDLE
""	Useless	11	0	3	9	14	0	1	14	0	16	5	42	5	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gruene.de#T	Useful	10	0	0	0	4	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	10	0	0	0	6	5	0	0	0	0	0	0	0	0	1	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
otto.de#A	Useful	11	0	0	0	5	19	1	4	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	65	0	1	1	30	52	5	97	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
otto.de#C	Useful	10	0	0	3	4	30	9	0	0	0	0	0	3	0	1	1	0	0	2	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	
""	Useless	67	0	1	8	19	181	39	1	1	0	0	0	12	1	1	16	0	0	5	36	65	0	0	3	0	0	0	0	2	0	0	0	0	0	
otto.de#G	Useful	19	0	0	5	6	106	13	0	0	0	0	0	3	0	0	0	0	0	6	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	78	0	1	34	30	753	55	0	0	0	0	0	16	1	0	0	0	0	10	60	89	0	0	0	0	0	0	0	0	0	0	0	0	0	
otto.de#I	Useful	11	0	1	0	4	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	0	2	2	0	0	3	0	0	1	0	0	0	
""	Useless	86	0	3	0	13	0	16	0	0	0	0	0	0	0	3	25	0	0	0	0	56	0	0	4	10	0	0	9	4	0	4	0	0	0	
otto.de#M	Useful	13	0	0	4	3	0	1	8	0	11	2	25	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	69	0	5	9	15	0	5	70	0	57	24	184	19	1	3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
otto.de#T	Useful	12	0	0	3	4	1	2	1	0	0	0	0	3	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	66	0	1	1	16	16	5	16	0	0	0	0	9	1	3	19	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	
xing.de#A	Useful	11	3	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	10	0	1	0	2	22	0	41	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
xing.de#C	Useful	5	0	0	0	2	13	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
""	Useless	38	0	1	10	4	124	25	0	0	0	0	0	1	1	1	0	0	0	5	15	22	0	0	1	0	0	0	2	0	0	0	0	0	0	
xing.de#G	Useful	2	0	0	0	2	19	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	56	0	1	18	13	474	37	0	0	0	0	0	1	2	0	0	0	0	8	33	31	0	0	0	0	0	0	0	0	0	0	0	0	0	
xing.de#I	Useful	10	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	
""	Useless	30	0	1	0	0	0	10	0	0	0	0	0	0	0	2	1	0	0	0	0	18	0	0	3	2	0	0	12	4	0	6	0	0	0	
xing.de#M	Useful	15	0	0	0	1	0	2	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	19	0	2	11	9	0	2	21	0	60	14	138	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
xing.de#T	Useful	13	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	14	0	1	6	4	2	1	1	0	0	0	0	0	0	2	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	
youporn.com#A	Useful	5	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	6	0	5	0	4	7	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
youporn.com#C	Useful	4	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	10	0	4	4	4	71	14	1	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
youporn.com#G	Useful	3	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	27	0	4	18	17	384	32	0	0	0	0	0	0	0	0	0	0	0	17	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	
youporn.com#I	Useful	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	
""	Useless	5	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	
youporn.com#M	Useful	6	0	0	0	1	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	7	0	11	4	4	0	0	7	0	32	2	118	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
youporn.com#T	Useful	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
""	Useless	7	0	4	1	4	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
